"激進","激进","jī jìn",,,,"radical
extreme
extremist","radikal (u.E.) (Adj)
Radikalisierung (u.E.) (S)
durchgreifen (u.E.) (V","radical",
"冷凍","冷冻","lěng dòng",,,,"to freeze
to deep-freeze","einfrieren, gefrieren; gefroren, Gefrier-, Kühl- (u.E.) (V","réfrigération",
"驚逃","惊逃","jīng táo",,,,"to stampede","in Panik versetzen (u.E.",,
"要是","要是","yào shi",,,,"if","wenn (u.E.","si
au cas où
supposé que
 à condition que",
"治安","治安","zhì ān",,,,"law and order
public security","öffentliche Frieden (u.E.) (S)
öffentliche Sicherheit (u.E.) (S)
Recht und Ordnung (u.E.) (S)
Sicherheit (u.E.) (S)
Sicherheitslage (u.E.) (S","sécurité publique",
"胰島","胰岛","yí dǎo",,,,"see 郎格罕氏島|郎格罕氏岛[Láng gé hǎn shì dǎo]","Langerhanssche Inseln (u.E.","Îlots de Langerhans",
"拉件","拉件","lā jiàn",,,,,"befestigen (Eisenbahn) (u.E.) (V",,
"臭罵","臭骂","chòu mà",,"頓|顿[dun4]",,"tongue-lashing
to chew out",,,
"擺滿","摆满","bǎi mǎn",,,,"to spread over an area",,"se répandre sur une surface",
"互利","互利","hù lì",,,,"mutually beneficial","zu beidseitigem Nutzen (u.E.","mutuellement avantageux
intérêt mutuel",
"上升","上升","shàng shēng",,,,,"Anstieg, Aufstieg, Aufwärtsbewegung, Ansteigung (u.E.) (S)
ansteigen, aszendieren, klettern, steigen (u.E.) (V",,
"倒爺","倒爷","dǎo yé",,,,"profiteer
wheeler dealer
tradesman who buys low and sell high",,,
"吉他","吉他","jí tā",,"把[ba3]",,"guitar","Gitarre (u.E.) (S, Mus","guitare",
"奈何","奈何","nài hé",,,,"to do something to sb
to deal with
to cope
how?
to no avail","inwiefern (u.E.","que faire",
"基因","基因","jī yīn",,,,"gene (loanword)","Gen (u.E.) (S, Bio","gène",
"托丽","托丽","tuō lí",,,,,,"Tori",
"吞沒","吞没","tūn mò",,,,"to embezzle
to swallow up
to engulf","sich einverleiben, verschlingen (u.E.) (V)
unterschlagen (u.E.) (V","s'approprier
détourner
submerger
dévorer",
"示意","示意","shì yì",,,,"to hint
to indicate (an idea to sb)","signalisieren (u.E.) (V","faire signe à qqn
suggérer",
"圓丘","圆丘","yuán qīu",,,,,,"dôme",
"微山","微山","wēi shān",,,,"Weishan County in Jining 濟寧|济宁[Jǐ níng], Shandong","Weishan (Ort in Shandong) (u.E.) (Eig, Geo","Xian de Weishan",
"客位","客位","kè wèi",,,,,"Fahrgastplatz (u.E.) (S",,
"連璧","连璧","lián bì",,,,"to join jade annuli
fig. to combine two good things",,,
"蜜莎","蜜莎","mì shā",,,,,,"Missa",
"丙辰","丙辰","bǐng chén",,,,"fifty-third year C5 of the 60 year cycle, e.g. 1976 or 2036",,,
"霍里","霍里","huò lǐ",,,,,"Huoli (u.E.) (Eig, Fam",,
"提拉","提拉","tí lā",,,,,,"Tiera
Tierra",
"真傳","真传","zhēn chuán",,,,"authentic tradition
handed-down teachings or techniques",,"tradition authentique
légué par les enseignements ou les techniques",
"秋熟","秋熟","qīu shú",,,,"ripening in autumn (of crops)",,"maturation à l'automne (des cultures)",
"書局","书局","shū jú",,,,"book store
publishing house","Buchhandlung (u.E.) (S)
Verlag, Verlagshaus (u.E.) (S","libraire",
"佔優","占优","zhàn yōu",,,,"dominance
traditional form also written 占優",,,
"啤孩","啤孩","pí hái",,,,,"Bierjunge (u.E.) (S",,
"全等","全等","quán děng",,,,"congruent (triangles)
congruence (geometry)","deckungsgleich (u.E.) (Adj","congruent
congruence",
"西部","西部","xī bù",,,,"western part","der Westen, der westliche Teil (u.E.) (S)
westlich (u.E.) (Adj","partie ouest
occidental",
"羌憲","羌宪","qiāng xiàn",,,,,"Qiangxian (u.E.) (Eig, Fam",,
"還在","还在","hái zài",,,,,"immer noch (u.E.",,
"丹毒","丹毒","dān dú",,,,"erysipelas",,"érysipèle",
"第二","第二","dì èr",,,,"second
number two
next","zweite, zweiter, zweitens (u.E.) (Adj","deuxième
deuxièmement
second
secondement
secundo",
"刑事","刑事","xíng shì",,,,"criminal
penal","strafrechtlich, kriminell, strafbar (u.E.) (Adj","criminel
pénal",
"尼蘇","尼苏","ní sū",,,,"Nisu (language)",,,
"嘴尖","嘴尖","zuǐ jiān",,,,"sharp-tongued
to have a keen sense of taste
to be picky about one's food",,,
"菝葜","菝葜","bá qiā",,,,,,"Smilax",
"女權","女权","nǚ quán",,,,"women's rights","Frauenrechte, Gleichberechtigung (u.E.) (S","droits des femmes",
"扣壓","扣压","kòu yā",,,,"to withhold
to hold sth back (and prevent it being known)",,"retenir
supprimer
mettre sous le boisseau",
"菁華","菁华","jīng huá",,,,"the cream
essence
the quintessence",,,
"文峰","文峰","wén fēng",,,,"Wenfeng district of Anyang city 安陽市|安阳市[ān yáng shì], Henan",,"Byron Mann",
"北朝","北朝","běi cháo",,,,"Northern Dynasties (386-581)",,"Les Dynasties du Nord (Wei, Qi, Zhou)",
"合閘","合闸","hé zhá",,,,,"einschalten (u.E.) (V",,
"曝光","曝光","pù guāng",,,,"exposure (e.g. of photosensitive material)
to expose (a scandal to the public)",,"paramètres d'exposition",
"外圓","外圆","wài yuán",,,,,"Außenrund- (u.E.",,
"天保","天保","tiān bǎo",,,,,,"Ère Tenpo",
"漫長","漫长","màn cháng",,,,"very long
endless","endlos (u.E.)
langwierig (u.E.) (Adj","très long
interminable",
"屈辱","屈辱","qū rǔ",,,,"to humiliate
humiliating",,"humiliation",
"家小","家小","jiā xiǎo",,,,,,"femme et enfants",
"聖朝","圣朝","shèng cháo",,,,"the current imperial dynasty
one's own court",,,
"經受","经受","jīng shòu",,,,"to undergo (hardship)
to endure
to withstand","erleben (u.E.) (V)
ertragen (u.E.) (V)
unterziehen (u.E.) (V","subir
supporter",
"看倌","看倌","kàn guān",,,,"dear reader
dear listener",,"cher lecteur
cher auditeur",
