"醕","醇","chún",,,,"old variant of 醇[chún]",,"vin
liqueurs
pur
diligent",
"衹","只","zhǐ",,,,"variant of 祇|只[zhǐ]",,,
"幢","幢","chuáng",,,,"banner","Fähnchen, Wimpel (u.E.",,
"暴","暴","bào",,,,"surname Bao
sudden
violent
cruel
to show or expose
to injure","gewalttätig, heftig (u.E.) (Adj","violent
irritable
cruel
brusque
nuire
exposer",
"坲","坲","fó",,,,"(of dust) to rise in the air",,,
"才","才","cái",,,,"ability
talent
sb of a certain type
a capable individual
only
only then
just now","Befähigung, Begabung, Talent, großes Können (u.E.) (S)
ein großes Talent, ein hervorragendes Talent (u.E.) (S)
doch, gewiss, wahrhaftig, in der Tat (u.E.) (Konj)
erst, nur (u.E.) (Konj)
nicht früher als, erst wenn, erst nachdem (u.E.) (Konj)
vor kurzer Zeit, gerade, soeben, eben erst (u.E.) (Konj",,
"炬","炬","jù",,,,"torch","Fackel (u.E.) (S)
Taschenlampe, Schweißbrenner (u.E.) (S","torche",
"紙","纸","zhǐ",,"張|张[zhang1],沓[da2]",,"paper
classifier for documents, letter etc","Papier (S","papier
document",
"䗬","蜂","fēng",,,,"variant of 蜂[fēng]",,,
"奘","奘","zàng",,,,"great",,"robuste",
"娥","娥","é",,,,"good
beautiful",,"bon
beau
belle",
"俶","俶","chù",,,,"to begin","anfangen, beginnen (u.E.","commencer",
"瓮","瓮","wèng",,,,"variant of 甕|瓮[wèng]
earthen jar
urn","Urne (u.E.) (S",,
"阻","阻","zǔ",,,,"to hinder
to block
to obstruct","abblocken, blockieren (u.E.)
aufhalten, behindern (u.E.)
versperren (u.E.","empêcher
bloquer",
"蒍","蔿","wéi",,,,,"Wei (u.E.) (Eig, Fam",,
"孕","孕","yùn",,,,"pregnant","bedeutungsvoll (u.E.) (Adj)
Schwangerschaft; schwanger (u.E.","enceinte (femme)",
"咦","咦","yí",,,,"expression of surprise","Ausdruck von Überraschung (u.E.) (Int","expression de surprise",
"解","解","xiè",,,,"surname Xie
acrobatic display (esp. on horseback) (old)
variant of 懈[xiè] and 邂[xiè] (old)",,,
"乕","乕","hǔ",,,,"archaic variant of 虎[hǔ]",,,
"斂","敛","liàn",,,,"variant of 殮|殓[liàn]",,"retenir
collecter",
"噴","喷","pēn",,,,"to puff
to spout
to spray
to spurt","herausspritzen (u.E.)
pusten (u.E.)
speien (u.E.) (V)
speisen (u.E.) (V)
spritzen (u.E.) (V","jaillir
vaporiser",
"唑","唑","zuò",,,,"azole (chemistry)",,"(utilisé dans les traductions de noms étrangers)",
"穹","穹","qíong",,,,"vault
dome
the sky",,"voûte",
"扤","扤","wù",,,,"to shake
to sway","erregen, verschieben (u.E.)
schwanken, Schaukeln (u.E.) (S","secouer
osciller",
"克","克","kè",,,,"to be able to
to subdue
to restrain
to overcome
gram
Tibetan unit of land area, about 6 ares","Gramm (u.E.) (S",,
"罡","罡","gāng",,,,"stars of the Big Dipper that constitute the tail of the dipper",,"(ancien nom d'étoile)",
"洩","泄","xiè",,,,"variant of 泄[xiè]","ausplaudern, enthüllen (u.E.","fuir (liquide)
suinter
Xie (empereur)",
"詔","诏","zhào",,,,"imperial order","kaiserliches Edikt (u.E.)
unterrichten, unterweisen, belehren (u.E.","proclamer",
"怨","怨","yuàn",,,,"to blame
to complain","beschuldigen, Schuld geben (u.E.) (V)
Haß, Groll, Feindseligkeit (u.E.) (V)
jdn. für etw. verantwortlich machen, tadeln (u.E.) (V)
seufzen, bedauern (u.E.) (V)
sich beklagen, sich beschweren, jdn. etw. verübeln (u.E.) (V","rancune
plainte
reprocher
se plaindre de
en vouloir",
"苉","苉","pǐ",,,,"picene (C22H14)",,,
"忍","忍","rěn",,,,"to bear
to endure
to tolerate
to restrain oneself","aushalten, ertragen (u.E.)
dulden, tolerieren (u.E.)
schlagen, besiegen (u.E.","subir
supporter
endurer",
"伯","伯","bǎi",,,,"one hundred (old)",,"cent (ancien)",
"慄","栗","lì",,,,"afraid
trembling","bangend, zitternd (u.E.",,
"臘","腊","là",,,,"12th lunar month
preserved (meat, fish etc)","Dezember im chin. Kalender (u.E.) (S); Bsp.: 臘月 腊月 -- 12. Mon. des chin. Kalender ( Opfermonat )
etwas gepöcketes, geräuchtes (u.E.) (Adj); Bsp.: 臘味 腊味 -- Gepöcketes, Geräuchte","sacrifice d'hiver",
"葛","葛","gě",,,,"surname Ge",,"(nom de famille)",
"簸","簸","bǒ",,,,"to winnow",,"vanner",
"撊","撊","xiàn",,,,"valiant
wrathful","tapfer (u.E.","vaillant
courroucé",
"儻","傥","tǎng",,,,"if
unexpectedly","ob, sofern (u.E.)
unerwartet (u.E.","vaste
peut-être
si",
"騏","骐","qí",,,,"piebald horse
used for 麒[qí], mythical unicorn","Schecke (Pferd mit geschecktem Fell) (u.E.) (S, Bio","pie (cheval)",
"臟","脏","zàng",,,,"viscera
(anatomy) organ",,"viscères
entrailles",
"殀","殀","yǎo",,,,,,"décès prématuré",
"梜","梜","jiá",,,,"chopstick",,"baguettes (couvert chinois)",
"侏","侏","zhū",,,,"dwarf"," Zwerg, Knirps (u.E.) (S","jurassique",
"羑","羑","yǒu",,,,"to lead","führen, leiten (u.E.)
You (u.E.) (Eig, Fam",,
"徻","徻","wèi",,,,"a wide room",,"une grande salle",
"枌","枌","fén",,,,"(tree)",,"variété d'orme à petites graines",
"嚶","嘤","yīng",,,,"calling of birds","(English: calling of birds) (u.E.","pépiement
gazouillement",
"予","予","yǔ",,,,"to give","bieten, geben (u.E.","accorder
approuver",
"粳","粳","jīng","gēng",,,"round-grained nonglutinous rice (Japonica rice)",,,
"吭","吭","kēng",,,,"to utter",,"prononcer",
"毷","毷","mào",,,,"restless","ruhelos, rastlos (u.E.",,
"灌","灌","guàn",,,,"to irrigate
to pour
to install (software)
to record (music)","füllt (u.E.)
gießen, einschenken (u.E.)
übergießen (u.E.) (V)
füllen (u.E.) (V)
gefüllt (u.E.) (V)
Guan (u.E.) (Eig, Fam","irriguer
verser
remplir
enregistrer
inculquer",
"笏","笏","hù",,,,"tablet held at an audience",,"tablette",
"澳","澳","ào",,,,"deep bay
cove
harbor
abbr. for Macao 澳門|澳门
abbr. for Australia 澳大利亞|澳大利亚",,"baie
mouillage
ancrage
crique
port
(abréviation de Macao ou Australie)",
"禘","禘","dì",,,,"imperial ancestral sacrifice",,"sacrifice impérial (ancestral)",
"嚅","嚅","rú",,,,"chattering","plappernd, Plappern (u.E.) (S",,
"蒡","蒡","bàng",,,,"Arctium lappa
great burdock",,"Chrysanthème à couronnes (chrysanthemum coronarium)",
"軡","軡","qián",,,,"old variant of 黔[Qián]",,,
"比","比","bǐ",,,,"Belgium
Belgian
abbr. for 比利時|比利时[Bǐ lì shí]
(particle used for comparison and ""-er than")
to compare
to contrast
to gesture (with hands)
ratio",,"par rapport à
en comparaison avec
que
à
 comparer
rivaliser avec
considérer comme",
"痡","痡","pū",,,,"sick
disabled",,,
"聞","闻","wén",,,,"surname Wen
to hear
news
well-known
famous
reputation
fame
to smell
to sniff at","riechen, hören (V)
Wen (Eig, Fam","entendre
sentir (une odeur)
information",
"肢","肢","zhī",,,,"limb","Glied, Schenkel (Falte) (u.E.) (S, Geol","membre",
"氉","氉","sào",,,,"restless, melancholy",,,
"床","床","chuáng",,"張|张[zhang1]",,"bed
couch
classifier for beds","Bett (u.E.) (S",,
"轙","轙","yǐ",,,,"rings on the yokes",,,
