"心電感應","心电感应","xīn diàn gǎn yìng",,,,"telepathy","Telepathie (u.E.) (S","télépathie",
"樹蔭咖啡","树荫咖啡","shù yìn kā fēi",,,,,,"café planté à l'ombre
café poussé à l'ombre",
"卡特彼勒","卡特彼勒","kǎ tè bǐ lè",,,,,"Caterpillar (u.E.) (Eig, Wirtsch","Caterpillar",
"春光乍泄","春光乍泄","chūn guāng zhà xiè",,,,"spring sunshine emerges to bring the world alive (idiom)
to give a glimpse of sth intimate (e.g. one's underwear)",,,
"人類學家","人类学家","rén lèi xué jiā",,,,"anthropologist","Anthropologe (u.E.) (S)
Anthropologe (u.E.) (S","anthropologiste
anthropologue",
"罗德力戈","罗德力戈","luō dé lì gē",,,,,,"Rodrigue",
"身懷六甲","身怀六甲","shēn huái lìu jiǎ",,,,"to be pregnant (idiom)",,"Grossesse",
"勞動改造","劳动改造","láo dòng gǎi zào",,,,"reeducation through labor
laogai (prison camp)","Laogai (u.E.) (Rechtsw)
Umerziehung (von Straftätern) durch körperliche Arbeit (u.E.","Laogai",
"全攻全守","全攻全守","quán gōng quán shǒu",,,,,,"Football total",
"調查研究","调查研究","diào chá yán jīu",,,,,"Recherche (u.E.) (S)
recherchieren (u.E.) (V","recherche-sondage
recherche par sondage
recherche par enquête",
"列氏溫標","列氏温标","liè shì wēn biāo",,,,"Réaumur temperature scale",,"Échelle Réaumur",
"成功機會","成功机会","chéng gōng jī huì",,,,,"Erfolgsaussicht (u.E.) (S",,
"小沙百靈","小沙百灵","xiǎo shā bǎi líng",,,,,"Stummellerche (lat: Calandrella rufescens) (u.E.) (Eig, Bio",,
"堅振聖事","坚振圣事","jiān zhèn shèng shì",,,,,,"Confirmation",
"宣布辭職","宣布辞职","xuān bù cí zhí",,,,,"Rücktrittsankündigung (u.E.) (S",,
"屬於公司","属于公司","shǔ yú gōng sī",,,,,"hauseigen (u.E.) (Adj",,
"影响研究","影响研究","yǐng xiǎng yán jīu",,,,,,"étude d'impact",
"煉金術士","炼金术士","liàn jīn shù shì",,,,"alchemist","Alchimist (u.E.) (S","alchimiste",
"平均海拔","平均海拔","píng jūn hǎi bá",,,,,"mittlerer Meeresspiegel, Höhe über dem Meeresspiegel (u.E.) (S, Geo)
Normalhöhennull, NHN   [ ca. 37m über NN ] (u.E.) (S, Geo)
Normalnull, NN (u.E.) (S, Geo",,
"加熱設備","加热设备","jiā rè shè bèi",,,,,"Heizaggregat (u.E.) (S",,
"國際合作","国际合作","guó jì hé zuò",,,,,"internationale Zusammenarbeit (u.E.","coopération internationale",
"特約記者","特约记者","tè yuē jì zhě",,,,"special correspondent
stringer","Saitenaufzieher (u.E.) (S)
Sonderberichterstatter (u.E.) (S","envoyé spécial",
"舒張開來","舒张开来","shū zhāng kāi lái",,,,,"sich öffnen (u.E.) (V",,
"評頭品足","评头品足","píng tóu pǐn zú",,,,"to make idle remarks about a woman's appearance (idiom)","anzügliche Bemerkungen machen (u.E.) (V, Sprichw)
übertrieben kritisch sein (u.E.) (V)
etw. auszusetzen haben (u.E.) (V",,
"希望鑽石","希望钻石","xī wàng zuàn shí",,,,,"Hope-Diamant (u.E.) (S","Hope (diamant)",
"光線充足","光线充足","guāng xiàn chōng zú",,,,,"hell (u.E.) (Adj)
helle (u.E.) (Adj",,
"坦然無懼","坦然无惧","tǎn rán wú jù",,,,"remain calm and undaunted",,"rester calme et intrépide",
"套準誤差","套准误差","tào zhǔn wù chā",,,,,"Fehlpasser (u.E.",,
"聖誕餅乾","圣诞饼干","shèng dàn bǐng gān",,,,,"Weihnachtskeks (u.E.) (S, Ess",,
"避稅天堂","避税天堂","bì shuì tiān táng",,,,,"Steuerparadies, Steueroase (u.E.) (S, Rechtsw","paradis fiscal",
"文化霸權","文化霸权","wén huà bà quán",,,,,"Kulturelle Hegemonie (u.E.) (Pol","Hégémonie culturelle",
"比蘭倫斯","比兰伦斯","bǐ lán lún sī",,,,,"Belenenses Lissabon (u.E.","Clube de Futebol Os Belenenses",
"店內用餐","店内用餐","diàn nèi yòng cān",,,,,,"consommer sur place dans un fast-food",
"行政法典","行政法典","xíng zhèng fǎ diǎn",,,,,"Verwaltungsgesetzbuch (u.E.) (S",,
"頌聲載道","颂声载道","sòng shēng zài dào",,,,"lit. praise fills the roads (idiom); praise everywhere
universal approbation",,,
"維亞康姆","维亚康姆","wéi yà kāng mǔ",,,,,"Viacom (u.E.) (Geo)
Viacom (u.E.) (Med)
Viacom (u.E.) (Org","Viacom",
"表面結構","表面结构","biǎo miàn jié gòu",,,,,"Oberflächenstruktur (u.E.) (S",,
"露天堆棧","露天堆栈","lù tiān duī zhàn",,,,"open-air repository
open-air depot",,,
"指鹿作馬","指鹿作马","zhǐ lù zuò mǎ",,,,"to take a deer and call it a horse (idiom); deliberate inversion of the truth",,,
"魅力四射","魅力四射","mèi lì sì shè",,,,"glamorous
charming
seductive",,"glamour
charmant
séducteur",
